epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.308,1.06919,1.58632,1.44117,0.79248,0.79171,0.90628,0.67947,0.95703,1.03718,1.62687,0.0676906,0.000999259,0.000999259
2,1245.53,0.91065,0.98762,1.29794,0.9372,0.95222,0.98175,0.81378,0.67443,0.55443,1.31919,0.0352913,0.00193328,0.00193328
3,1856.36,0.81244,0.83757,1.22948,0.83262,0.80838,0.88143,0.6534,1.09485,0.88663,1.82611,0.00282602,0.00280131,0.00280131
4,2473.73,0.74196,0.74263,1.18265,0.90071,0.97014,0.97723,0.82497,0.60162,0.46962,1.22027,0.002703,0.002703,0.002703
5,3090.35,0.69918,0.6841,1.15086,0.95737,0.96383,0.98229,0.85603,0.54033,0.42029,1.16865,0.002604,0.002604,0.002604
6,3710.88,0.65765,0.64254,1.12814,0.79847,0.73232,0.79483,0.60059,1.15797,1.166,2.01021,0.002505,0.002505,0.002505
7,4324.78,0.63952,0.62003,1.11617,0.84337,0.81784,0.88562,0.70249,0.90436,0.82299,1.58824,0.002406,0.002406,0.002406
8,4935.67,0.61673,0.60198,1.09739,0.98246,0.9759,0.987,0.89639,0.42904,0.32356,1.05818,0.002307,0.002307,0.002307
9,5550.53,0.59489,0.57564,1.08749,0.97607,0.97788,0.98694,0.90369,0.41622,0.31303,1.05412,0.002208,0.002208,0.002208
10,6162.44,0.58609,0.56241,1.08279,0.97514,0.98369,0.9856,0.90463,0.42241,0.30821,1.0578,0.002109,0.002109,0.002109
11,6775.01,0.57389,0.55804,1.07718,0.97904,0.97845,0.9871,0.91397,0.39887,0.30246,1.01892,0.00201,0.00201,0.00201
12,7390.3,0.56336,0.54665,1.06963,0.96405,0.97808,0.9861,0.91564,0.38036,0.28788,1.00919,0.001911,0.001911,0.001911
13,8005.3,0.54955,0.53684,1.06208,0.93716,0.93636,0.97296,0.86981,0.50755,0.43844,1.1369,0.001812,0.001812,0.001812
14,8618.05,0.54398,0.53232,1.06054,0.96156,0.97964,0.98486,0.91559,0.37456,0.28465,0.99807,0.001713,0.001713,0.001713
15,9231.29,0.53843,0.5231,1.05638,0.97185,0.98166,0.98501,0.91696,0.39027,0.27159,1.03776,0.001614,0.001614,0.001614
16,9847.02,0.52235,0.50756,1.0469,0.97327,0.98569,0.98757,0.91942,0.36629,0.26621,0.99656,0.001515,0.001515,0.001515
17,10463.5,0.50795,0.49656,1.04024,0.97254,0.98539,0.98583,0.92677,0.33387,0.26132,0.97338,0.001416,0.001416,0.001416
18,11081,0.50321,0.49629,1.03905,0.974,0.9762,0.98387,0.91641,0.36457,0.26527,0.99618,0.001317,0.001317,0.001317
19,11702.6,0.49344,0.48832,1.03234,0.97901,0.98574,0.98748,0.92784,0.33768,0.24545,0.97367,0.001218,0.001218,0.001218
20,12325.8,0.49099,0.48032,1.0316,0.98112,0.98382,0.98747,0.93286,0.32049,0.24094,0.96159,0.001119,0.001119,0.001119
21,12968.4,0.34853,0.25736,0.96443,0.98212,0.9888,0.99042,0.94141,0.31024,0.23519,0.94375,0.00102,0.00102,0.00102
22,13584.2,0.32616,0.2384,0.94716,0.98193,0.98949,0.99101,0.94738,0.28896,0.21575,0.92792,0.000921,0.000921,0.000921
23,14194.8,0.31241,0.22731,0.93939,0.98589,0.98974,0.99079,0.94892,0.27728,0.20654,0.92086,0.000822,0.000822,0.000822
24,14816,0.29785,0.21818,0.92902,0.97981,0.987,0.98961,0.95032,0.25975,0.20181,0.90834,0.000723,0.000723,0.000723
25,15435.5,0.28513,0.20719,0.92227,0.98239,0.99012,0.98943,0.94941,0.27016,0.19484,0.92828,0.000624,0.000624,0.000624
26,16048.5,0.27008,0.19721,0.91275,0.98375,0.98989,0.99097,0.95632,0.24761,0.18753,0.89637,0.000525,0.000525,0.000525
27,16665.4,0.25787,0.19204,0.90727,0.98743,0.98888,0.99107,0.95606,0.23301,0.17615,0.88986,0.000426,0.000426,0.000426
28,17277.2,0.24375,0.18165,0.89836,0.98522,0.98985,0.99111,0.95568,0.23199,0.18161,0.89401,0.000327,0.000327,0.000327
29,17894.2,0.23344,0.17593,0.89491,0.9854,0.99036,0.99142,0.95654,0.22286,0.16639,0.88456,0.000228,0.000228,0.000228
30,18514.2,0.22371,0.16805,0.88814,0.98456,0.99263,0.99175,0.95729,0.21552,0.16452,0.88144,0.000129,0.000129,0.000129
